,Name,Email ID,Bank ID,Age,Location,Music preference,Risk,Net worth,Investment goals,Income per annum,Favorite Songs
48,Kyle Johnson,lholloway@example.org,BID18946,41,"Lake Charlesland, Vermont",holidays,Low,$274580,Travel,$73797,"Holidays Time, The Holidays Are Here, Holidays"
49,Michael Davenport,casey95@example.com,BID46504,19,"Smithchester, Idaho",dubstep,High,$262217,Buy a new house,$71662,"Dubstep Tractor, First of the Year (Equinox), Artificial Dubstep"
50,Andrew Levy,hdavenport@example.net,BID27551,38,"Lake Olivialand, New Mexico",chill,High,$45639,Child's education,$75240,"Chills - Dark Version, Chill Phonk, Chill Like That"
51,Rachel Dodson,icunningham@example.org,BID95670,43,"Meyersfort, Indiana",emo,Low,$314758,Travel,$86600,"Emotional Rollercoaster, Emotional Torn, Emotionless"
52,Erin Roy,dianeriley@example.net,BID18278,43,"Lindseychester, Georgia",disco,High,$250162,Child's education,$25467,"Disco Man, Disco 2000, Disco"
53,Rachel Brooks,nicoleboyd@example.org,BID26584,18,"Rioston, New Jersey",forro,Low,$254978,Travel,$32990,"Piseiro Tocando Alto, Acabou, Forrózinho Infinity"
54,Sherry Jones,uroy@example.net,BID78735,61,"East Joseph, Nebraska",chill,Low,$411791,Retirement savings,$72398,"Chill Phonk, CHILL, Chill Like That"
55,Rachel Kirk,ehatfield@example.com,BID92875,55,"South Samantha, Tennessee",industrial,Low,$97344,Travel,$33959,"Industrial Zone A, Industrial Discipline, The Industrial Revolution (And How It Ruined My Life)"
56,Gary Peterson,jane33@example.net,BID77344,54,"Bergermouth, Kansas",happy,Low,$40081,Child's education,$93804,"Happy Xmas (War Is Over) - Remastered 2010, Happy Holidays, You Bastard, Happy Does"
57,Matthew Moreno,thomas23@example.org,BID45976,45,"Lukechester, Ohio",j-idol,High,$261981,Travel,$78100,"Image, ヒトミノチカラ, 1%"
58,Jennifer Beltran,fstewart@example.com,BID79724,44,"Herringchester, New Hampshire",songwriter,Low,$125038,Travel,$68471,"Songwriter (Part 2), Bull Riders & Songwriters, The Singer - 2009 Remastered Version"
59,Dustin Rivera,lorihernandez@example.net,BID89875,44,"Lake Gregory, Kansas",children,Low,$261852,Buy a new house,$34174,"Children - Full Length, If You Want Peace... Prepare For War, Children Die"
60,Russell Acosta,benjamincastillo@example.com,BID10561,45,"Josephberg, Nevada",mpb,High,$128358,Retirement savings,$94863,"MP5 (feat. SoFaygo), Mbappé - Remix, Porcelain"
61,Danny Shaw,michelle53@example.org,BID27127,32,"Susanmouth, Colorado",forro,High,$470261,Retirement savings,$91845,"Forrowest, Forrozinho Fire On Fire, Forró do Xenhenhem"
62,Gerald Simmons,boylesteven@example.org,BID15449,54,"Mendozaland, Maryland",samba,Low,$57546,Retirement savings,$41885,"Magalenha, Samba in Paris, Samba Triste - uChill Remix"
63,Jimmy Meyer,lclark@example.org,BID98563,58,"North Davidport, Wyoming",metal-misc,Low,$335908,Travel,$82555,"Showing Teeth, Metal Medley - Live, in Falun, 2008, Miscellaneous Metal and Glass Impact and Crash"
64,Jim Miller,smithrobert@example.com,BID43547,63,"South Raymond, Massachusetts",alt-rock,Low,$311658,Travel,$41546,"ALT, Rock and Roll - Alternate Mix, Rock Around With Ollie Vee - Alternate Version"
65,Ashley Nash,hooverpaul@example.net,BID17851,28,"Lisaside, South Carolina",salsa,High,$268084,Child's education,$96112,"Conteo Regresivo - Salsa Version, Rebelión, Salsa de Ahora"
66,Carla Burton,christinaarias@example.com,BID39650,20,"Michelleport, Hawaii",rock-n-roll,Low,$37677,Child's education,$40102,"Rock N Roll Train, Drift Away, Rock 'N' Roll"
67,Cheyenne Larson,fmathis@example.net,BID98003,45,"West Michael, Connecticut",rainy-day,High,$448681,Buy a new house,$22508,"Rainy Day, rainy day :/, Rainy Day at the Cafe"
68,Robert Browning,nalvarez@example.com,BID85934,55,"Davidhaven, California",german,High,$149798,Retirement savings,$88418,"German Dance & Ecossaise, D. 643, German Class, Germany National Anthem"
69,Raymond Allen,cameron62@example.com,BID94773,45,"Jodytown, Maine",latino,High,$295440,Travel,$88229,"Latinos For Trump, Latinoamericano, Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)"
70,Alicia Schmidt,zacharymurray@example.com,BID81591,46,"Francostad, Massachusetts",r-n-b,High,$115883,Child's education,$55804,"Baba Nanak, R-N-B, Never Recover (Lil Baby & Gunna, Drake)"
71,Brandon Mcbride,ecobb@example.com,BID15929,27,"Brightville, Wyoming",philippines-opm,Low,$424230,Child's education,$82287,"Opm Department, Paubaya, Bonggahan"
72,Anthony Dixon,dustinsparks@example.net,BID88315,49,"North Justinland, Massachusetts",death-metal,High,$131216,Buy a new house,$45478,"Maze of Torment, Death Metal Warmachine, Suffocation"
73,John Powell,sampsondonna@example.com,BID33151,62,"Andreastad, Montana",electronic,High,$205734,Retirement savings,$96313,"Electronic Experiment 1, Electronic Sound Pictures, Electronics Minimal"
74,Amanda Brown,ephillips@example.com,BID66994,29,"Greeneport, Washington",disney,High,$420587,Travel,$20253,"Poor Unfortunate Souls, Go the Distance, I Won't Say (I'm In Love) - From ""Hercules"""
75,Joseph Cox,moorebrittany@example.org,BID35626,52,"Sharpmouth, Florida",synth-pop,High,$69372,Travel,$90565,"Move It, Saved By Zero, Suddenly Last Summer - Remastered 2002"
76,Jessica Delacruz,kellylyons@example.com,BID19270,23,"Port Derek, West Virginia",british,Low,$123003,Retirement savings,$92884,"Patisserie Skills, British Columbia - Canadian American, British (Medley)"
77,Charles Martinez,khicks@example.org,BID27957,53,"Port Teresachester, Mississippi",latin,High,$181097,Child's education,$89232,"LATIN, Continuo Atardecer, FLORES"
78,Barbara Raymond,evan77@example.net,BID91322,18,"Jamieview, Oregon",holidays,Low,$43608,Retirement savings,$58382,"Holidays (feat. Earth, Wind & Fire), Holidays - Ofenbach Rework, Holiday Song"
79,Nicolas Wilson,jennifer26@example.org,BID90045,28,"West Michelleberg, Georgia",comedy,Low,$72782,Child's education,$35406,"Professional, Hi, Mocking Mood Swings"
80,Ryan Washington,lisa86@example.com,BID48135,64,"North Steven, Michigan",rainy-day,Low,$360831,Travel,$31256,"Rainy Days on the Veranda, Rainy Day [Feat. SPLNTR] - SPLNTR Remix, Rainy Day Path"
81,Albert Miller,jacob82@example.com,BID98864,29,"Lake Danielfort, New Hampshire",hard-rock,Low,$374479,Retirement savings,$71515,"bleh, Hard Rock Revolution, timing"
82,Sarah Roth,krobinson@example.org,BID65589,47,"New Amanda, Connecticut",samba,Low,$151148,Buy a new house,$72375,"Magalenha, Samba, Samba Triste - uChill Remix"
83,Kevin Williams,timothybaker@example.net,BID32947,57,"Cunninghamhaven, Montana",gospel,Low,$140593,Travel,$47765,"Gospel the kingdom of god, Gospel, Gospel of Dismay"
84,Anna Jimenez,paul97@example.net,BID66285,52,"Meghanside, Hawaii",hard-rock,Low,$492602,Child's education,$89333,"Here We Go / Quasar - Hybrid Remix, bleh, 1of1"
85,Jennifer Steele,garciatroy@example.net,BID99046,22,"West Theresa, Maryland",j-rock,Low,$210818,Retirement savings,$47086,"246, Just Breathe, Serba Salah"
86,Stephen Roberts,abowers@example.net,BID92210,28,"Port April, Ohio",philippines-opm,High,$129492,Child's education,$54589,"Still, Ikaw Ang Aking Mahal - Recorded at Kodama Studios, Philippines, Opm Department"
87,Jose Frank,christopherrobinson@example.org,BID31010,50,"Geraldport, Arkansas",holidays,High,$103325,Buy a new house,$68407,"HOLIDAY (Slowed Remix), HOLIDAY - Speed, The Holiday Song"
88,Douglas Rodriguez,nwilliams@example.net,BID97049,34,"North Tabitha, North Carolina",mpb,Low,$116036,Child's education,$80114,"Mbappe - Remix, Moby Dick - Intro / Outro Rough Mix, MP5 (feat. SoFaygo)"
89,Leah Duran,steve16@example.net,BID24567,26,"Rodriguezport, Wisconsin",techno,Low,$344319,Buy a new house,$37572,"Technologic - Radio Edit [Radio Edit], Techno Baby (I Really Wanna Dance!), TECHNO - VIP"
90,John Lara MD,carriedavidson@example.org,BID21449,19,"Gabriellashire, Colorado",industrial,Low,$494015,Retirement savings,$53300,"Industrial Discipline, Industrial Strain, Industrial"
91,Thomas Nixon,mario00@example.com,BID83731,43,"Cameronland, Kansas",indie-pop,Low,$379402,Retirement savings,$21887,"Sunburst, Big Indy, Goodnight (Intro)"
92,Anthony Jones,natalieglover@example.org,BID52877,32,"Markfort, Hawaii",ska,High,$249752,Child's education,$23125,"Skanks For Nothin', Sk8er Boi, Skating In Central Park"
93,Stacey Ellis,josephphillips@example.com,BID25118,37,"Livingstonfort, Arizona",detroit-techno,High,$373010,Buy a new house,$60568,"Jupiter Jazz, Welcome to Detroit (feat. Eminem), Detroit 1988 - Detroit Techno Mix"
94,Samantha Miller,beth87@example.net,BID31564,45,"Lake Timothyport, Kansas",summer,High,$216331,Retirement savings,$84246,"Broken Promises, SUMMER RENAISSANCE, Summertime"
95,David Rios,lauren48@example.org,BID70294,38,"East Thomas, South Carolina",j-pop,High,$147208,Child's education,$21359,"j-pop, Just My Type (feat. Poppy), Jungle Justice (Part Twice)"
96,Kristin Martin,vpearson@example.net,BID84661,38,"Port Deborah, Wyoming",industrial,Low,$455857,Retirement savings,$59045,"Industrial Zone A, INDUSTRIAL, Industrial Fan"
97,Kimberly Castro,deborahholmes@example.org,BID40107,50,"Spencershire, Massachusetts",funk,Low,$238791,Buy a new house,$72076,"Funkytown - Single Version, Knee Deep - Deep As A Mutha Funker Remix, Funk #48"
98,Angel Blankenship,monicafernandez@example.net,BID15450,54,"Allenville, Maine",chicago-house,Low,$338612,Child's education,$76525,"Daughters - Live at the House of Blues, Chicago, Illinois, September 22, 2005, Out of My Mind - Live at the House of Blues, Chicago, Illinois, September 22, 2005, House Music - Radio-Edit"
99,Jason Wiley,dwilliams@example.com,BID89251,27,"Jamesstad, Hawaii",indie-pop,Low,$86042,Child's education,$63258,"dreams, books, power and walls, Indiepop, Big Indy"
100,Jordan Miller,joseph24@example.com,BID88852,42,"Skinnerborough, Nebraska",study,High,$77088,Buy a new house,$33370,"Study's Silent Hardwork, STUDY Café, Studying Politics"
101,Christopher Baker,smithshannon@example.org,BID10729,18,"South Anthonyside, Oklahoma",trance,High,$247120,Child's education,$41832,"trance - sped up + reverb, Trance Tranquilo, Trance (feat. Karlae & Yung Bleu)"
102,Mrs. Brandy Baldwin,cdavidson@example.com,BID63367,62,"West Dennis, Utah",pop-film,Low,$168148,Retirement savings,$75773,"Can't Help Falling in Love - From ""Blue Hawaii"", When You Wish Upon a Star, Somewhere Over the Rainbow"
103,Donna Reeves,patrick30@example.net,BID41198,43,"Port Dominiqueside, North Carolina",j-pop,Low,$450054,Travel,$32456,"Jah Love (Remix), アイドル, Baby Don’t Hurt Me"
104,Margaret Perez,maryjohnston@example.com,BID41463,55,"Jonathanfort, Colorado",pop,Low,$197398,Travel,$42885,"Pop Star, Pope Is a Rockstar, Pop You"
105,Danielle Fritz,erikapatterson@example.com,BID28688,34,"New Derekburgh, Washington",sad,Low,$156410,Child's education,$49838,"Saddy Daddy-O, Smooth Operator - Single Version, Sad & Alone"
106,Annette Johnston PhD,jlopez@example.com,BID35873,54,"North Damonberg, Minnesota",alternative,High,$179012,Travel,$85936,"Alternative Space, ALTERNATIVE, Alternative Outro"
107,William Little,jenniferhaynes@example.net,BID70690,32,"East Brendafurt, Louisiana",folk,Low,$485487,Travel,$69687,"Gossip Folks (feat. Ludacris), tolerate it, Folksong"
108,Harry Ball,jdiaz@example.org,BID69521,32,"Pageton, Massachusetts",punk-rock,Low,$379123,Child's education,$77361,"Punk Rock Classic - Remastered, Punk Rocker, Punk Rock Songs"
109,Emily Miller,qrichard@example.net,BID30096,23,"North Marilynberg, Massachusetts",groove,Low,$447811,Travel,$55834,"History, GROOVE BUSTER, The Groove Merchant (Live) [1994 Remaster]"
110,Samuel Armstrong,thomas92@example.net,BID29216,63,"Scotthaven, Idaho",ambient,High,$204654,Child's education,$30803,"Ambient Pink Noise Flow, Ambient Volume One (Beaches), Ambient White Tones"
111,Shaun Cook,bennettaaron@example.net,BID84779,36,"East Brianna, Vermont",edm,Low,$26056,Child's education,$71563,"Withdrawls (Edm Remix), EDM O' CLOCK, EDM2"
112,Rachael Rodriguez,valerie24@example.net,BID10737,44,"Lake Andreaville, Tennessee",indian,Low,$43479,Travel,$79639,"Mundian To Bach Ke, Raiders March, Indiana"
113,Bryan Miller,criley@example.org,BID85165,23,"Port Jeffrey, Wyoming",mandopop,Low,$178298,Travel,$70004,"傻瓜, They Need a Monster, 人生,起起落落落落落?"
114,Jenna Johnson,dana06@example.org,BID91011,41,"East Michellemouth, Pennsylvania",songwriter,Low,$128091,Buy a new house,$53878,"The songwriter, Don't Break A Songwriter's Heart, The Songwriters - Live"
115,Christopher Bailey,tylerherrera@example.org,BID66117,55,"North Tonyafurt, Louisiana",classical,Low,$194490,Travel,$70434,"Canon and Gigue in D Major, P. 37: I. Canon, Piano Concerto No. 21 in C Major, K. 467: II. Andante, Classical Soul - Edit"
116,Stephanie Orozco,oramos@example.org,BID10381,21,"Brownmouth, Georgia",soundtracks,High,$264297,Child's education,$89715,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version, Soundtracks & Come Backs, Dances With Wolves"
117,Dean Fisher,sandralopez@example.com,BID14857,42,"Freemanchester, South Dakota",reggaeton,High,$196724,Retirement savings,$29594,"Reggaeton en Paris, Champagne Rose, Reggaeton Balvin"
118,Kendra Bishop,pbrown@example.org,BID16556,44,"South Michaelshire, Pennsylvania",industrial,Low,$421861,Travel,$79665,"INDUSTRY, Industrial, Industrial Messiah Complex"
119,Andrea Mercado,rtorres@example.com,BID47474,51,"Rebeccashire, Kentucky",punk,High,$499646,Retirement savings,$82175,"PUNKBITCH, Punk Weight, Punks and Poets"
120,Wendy Davis,thernandez@example.net,BID29625,39,"West Angel, Montana",grunge,Low,$408282,Child's education,$79129,"Brand New Start, Wonderwall, Grunge Mind"
121,Sherri Sanders,jeffery06@example.com,BID18568,29,"Danafurt, New Jersey",soundtracks,Low,$30073,Retirement savings,$40637,"Moon and Star, The Magnificent Seven, Soundtrack of My Life"
122,Rodney Williams,xestrada@example.net,BID60702,19,"Weberburgh, California",metal-misc,Low,$370738,Retirement savings,$31431,"Tongg - DEATHMETAL Remix, Creak, Metal - Underwater Metal Creak: Heavy Pressure Metal Foley, Squeak & Creak Foley, Miscellaneous Underwater, Miscellaneous Crash with Heavy Metal and Glass"
123,Dr. Stacey Morgan,alexanderwatson@example.org,BID77983,39,"Jocelynborough, Mississippi",progressive-house,High,$51651,Buy a new house,$22683,"Double Confetti, Progressive House Imagine, Vivaldi Winter - Progressive House Remix"
124,Larry Perry,allison20@example.com,BID91155,54,"Lake Ericstad, Nevada",progressive-house,Low,$250233,Travel,$85427,"Agave Adventure, Progressive House Imagine, Progressive House EDM Music For Gaming"
125,Joseph Taylor,stacey64@example.com,BID25999,21,"Bethborough, Washington",mandopop,Low,$36006,Travel,$97642,"天后, 傻瓜, Balloons"
126,Jonathan Patton,teresa86@example.net,BID18299,34,"North Davidstad, Nevada",soundtracks,Low,$255085,Retirement savings,$55842,"The Final Sacrifice, When We're Human - From ""The Princess and the Frog""/Soundtrack Version, Touch The Sky - From ""Brave""/Soundtrack"
127,Kari Smith,nicolewright@example.net,BID66501,37,"New Nicholasborough, Minnesota",work-out,Low,$144446,Buy a new house,$31351,"Work Out, Just Ain't Gonna Work Out, Work Out - Speed"
128,Amanda Vargas,dmcdonald@example.org,BID46343,42,"Tammybury, Idaho",grindcore,Low,$237895,Child's education,$59394,"GrindCore, XXX, Operation Grindcore - 2008 Dead EP"
129,Dale Patterson,brendaanderson@example.net,BID87776,65,"South Thomas, New Mexico",idm,High,$77932,Retirement savings,$27960,"アイディスマイル (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&MEIKO), Still, I'm Not Okay (I Promise)"
130,Jennifer Davis,jordanlee@example.net,BID38897,28,"Johnbury, Delaware",gospel,High,$435430,Buy a new house,$63924,"Gospel31, Just a Closer Walk With Thee, Gospel"
131,Brandi Watts,allenbrent@example.net,BID18102,19,"Julieborough, South Dakota",power-pop,High,$364801,Buy a new house,$66345,"Supernova Goes Pop, One in a Million, Pop Muzik"
132,Andrew Smith,mnoble@example.com,BID67477,26,"Joshuastad, Michigan",goth,Low,$49113,Retirement savings,$86260,"Alone in the Mountains, Colours, Gothic Surf-a-rama"
133,James Wolf,fmckee@example.net,BID37305,22,"North Michael, Iowa",chill,Low,$172299,Travel,$23061,"Chill, Chill Bill (feat. J. Davi$ & Spooks), Chilly"
134,Peter Barnes,roger20@example.com,BID16323,58,"Torreshaven, North Carolina",german,High,$388629,Retirement savings,$35990,"Step 1: German for Beginners, German Class, Lesson 8 - Directions"
135,David Berry,munozcarrie@example.org,BID59234,57,"Williamsmouth, Maryland",opera,High,$132652,Buy a new house,$59052,"Opera House, Operativo Gafe, Operation Pyrite"
136,Sean Foley,qlynn@example.com,BID31939,28,"Adamfurt, Michigan",turkish,Low,$395027,Child's education,$95422,"Turkish, Karina, Turkish Delight - Narnia Album Version"
137,Alexis Sanchez,sabrina52@example.net,BID62389,34,"Port Timothystad, Michigan",philippines-opm,Low,$252064,Buy a new house,$24736,"Sumayaw Sumunod, Opm Department, Akin Ka Na Lang"
138,Mark Patel,beckmeghan@example.net,BID96179,28,"New Melissaville, Massachusetts",reggaeton,High,$413891,Retirement savings,$51109,"Reggaetón, Reggaeton en Paris, Reggaeton Perreo TinyTune 071622"
139,Brian Johnson,donald95@example.com,BID56169,32,"South Taramouth, Alaska",piano,High,$195749,Buy a new house,$57326,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH. 55: I. Allegro non troppo e molto maestoso - Allegro con spirito - Live at Philharmonie, Berlin, Piano Sonata No. 8 in C Minor, Op. 13: II. Adagio cantabile, Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai"
140,Stephanie Kelley,bwilkerson@example.org,BID96466,41,"South Julieton, Florida",kids,Low,$316069,Travel,$51618,"Kids In The Dark, Super Rich Kids, Kids with Guns"
141,Marissa Thompson,larrysalas@example.net,BID68155,41,"Benjaminbury, North Dakota",hip-hop,Low,$289611,Child's education,$89730,"Hip Hop E Coast 05, Hip Hopper (feat. Lil Yachty), Hip Hop Kids"
